12,09,2022,11,39,12,48.539,222.066,55.313,54.593,CCW
12,09,2022,11,39,13,48.539,223.603,55.313,54.615,CCW
12,09,2022,11,39,13,48.539,225.087,55.313,54.635,CCW
12,09,2022,11,39,14,48.539,226.606,55.313,54.653,CCW
12,09,2022,11,39,14,48.539,227.365,55.313,54.664,CCW
12,09,2022,11,39,15,49.039,229.666,55.232,54.692,CCW
12,09,2022,11,39,15,49.039,231.163,55.232,54.714,CCW
12,09,2022,11,39,16,49.039,231.912,55.232,54.730,CCW
12,09,2022,11,39,17,49.039,234.226,55.232,54.813,CCW
12,09,2022,11,39,17,49.039,235.753,55.232,54.866,CCW
12,09,2022,11,39,18,49.039,236.507,55.232,54.894,CCW
12,09,2022,11,39,18,49.039,238.018,55.232,54.946,CCW
12,09,2022,11,39,19,49.039,240.318,55.232,55.025,CCW
12,09,2022,11,39,19,49.039,241.089,55.232,55.054,CCW
12,09,2022,11,39,20,49.039,242.614,55.232,55.104,CCW
12,09,2022,11,39,20,49.039,244.884,55.232,55.192,CCW
12,09,2022,11,39,21,49.039,245.635,55.232,55.214,CCW
12,09,2022,11,39,21,49.039,247.141,55.232,55.253,CCW
12,09,2022,11,39,22,49.039,249.448,55.232,55.252,CCW
12,09,2022,11,39,22,49.039,250.949,55.232,55.252,CCW
12,09,2022,11,39,23,49.039,251.710,55.232,55.252,CCW
12,09,2022,11,39,23,49.039,253.995,55.232,55.252,CCW
12,09,2022,11,39,24,49.039,255.549,55.232,55.252,CCW
12,09,2022,11,39,24,49.039,256.298,55.232,55.252,CCW
12,09,2022,11,39,25,49.039,258.555,55.232,55.252,CCW
12,09,2022,11,39,25,49.539,260.087,55.150,55.253,CCW
12,09,2022,11,39,26,49.539,261.605,55.150,55.252,CCW
12,09,2022,11,39,26,49.539,262.385,55.150,55.253,CCW
12,09,2022,11,39,27,49.539,264.636,55.150,55.247,CCW
12,09,2022,11,39,27,49.539,266.184,55.150,55.241,CCW
12,09,2022,11,39,28,49.539,267.714,55.150,55.234,CCW
12,09,2022,11,39,28,49.539,269.266,55.150,55.226,CCW
12,09,2022,11,39,29,49.539,270.837,55.150,55.220,CCW
12,09,2022,11,39,29,49.539,272.338,55.150,55.212,CCW
12,09,2022,11,39,30,49.539,273.865,55.150,55.207,CCW
12,09,2022,11,39,30,49.539,275.357,55.150,55.203,CCW
12,09,2022,11,39,31,49.539,276.902,55.150,55.193,CCW
12,09,2022,11,39,31,49.539,277.662,55.150,55.190,CCW
12,09,2022,11,39,32,49.539,281.440,55.150,55.174,CCW
12,09,2022,11,39,33,49.539,282.214,55.150,55.174,CCW
12,09,2022,11,39,33,49.539,283.712,55.150,55.166,CCW
12,09,2022,11,39,34,49.539,285.967,55.150,55.159,CCW
12,09,2022,11,39,34,49.539,287.510,55.150,55.153,CCW
12,09,2022,11,39,35,49.539,288.279,55.150,55.152,CCW
12,09,2022,11,39,35,50.039,290.524,55.068,55.149,CCW
12,09,2022,11,39,36,50.039,292.041,55.068,55.141,CCW
12,09,2022,11,39,36,50.039,292.790,55.068,55.137,CCW
12,09,2022,11,39,37,50.039,295.074,55.068,55.127,CCW
12,09,2022,11,39,38,50.039,296.623,55.068,55.120,CCW
12,09,2022,11,39,38,50.039,297.393,55.068,55.120,CCW
12,09,2022,11,39,38,50.039,299.056,55.068,55.113,CCW
12,09,2022,11,39,39,50.039,301.760,55.068,55.104,CCW
12,09,2022,11,39,40,50.039,302.422,55.068,55.098,CCW
12,09,2022,11,39,40,50.039,303.643,55.068,55.094,CCW
12,09,2022,11,39,41,50.039,305.809,55.068,55.087,CCW
12,09,2022,11,39,41,50.039,307.918,55.068,55.080,CCW
12,09,2022,11,39,42,50.039,308.522,55.068,55.078,CCW
12,09,2022,11,39,42,50.039,310.810,55.068,55.072,CCW
12,09,2022,11,39,43,50.039,312.444,55.068,55.071,CCW
12,09,2022,11,39,43,50.039,313.194,55.068,55.071,CCW
12,09,2022,11,39,44,50.039,315.486,55.068,55.069,CCW
12,09,2022,11,39,44,50.039,317.001,55.068,55.069,CCW
12,09,2022,11,39,45,50.039,317.738,55.068,55.069,CCW
12,09,2022,11,39,45,50.539,320.019,54.985,55.069,CCW
12,09,2022,11,39,46,50.539,321.578,54.985,55.067,CCW
12,09,2022,11,39,46,50.539,322.330,54.985,55.064,CCW
12,09,2022,11,39,47,50.539,323.825,54.985,55.054,CCW
12,09,2022,11,39,47,50.539,326.103,54.985,55.045,CCW
12,09,2022,11,39,48,50.539,326.857,54.985,55.043,CCW
12,09,2022,11,39,48,50.539,328.413,54.985,55.038,CCW
12,09,2022,11,39,49,50.539,330.670,54.985,55.027,CCW
12,09,2022,11,39,49,50.539,332.218,54.985,55.020,CCW
12,09,2022,11,39,50,50.539,335.285,54.985,55.005,CCW
12,09,2022,11,39,51,50.539,336.799,54.985,55.001,CCW
12,09,2022,11,39,51,50.539,337.542,54.985,54.998,CCW
12,09,2022,11,39,52,50.539,339.841,54.985,54.990,CCW
12,09,2022,11,39,52,50.539,341.348,54.985,54.987,CCW
12,09,2022,11,39,53,50.539,342.132,54.985,54.987,CCW
12,09,2022,11,39,53,50.539,344.395,54.985,54.987,CCW
12,09,2022,11,39,54,50.539,345.911,54.985,54.987,CCW
12,09,2022,11,39,54,50.539,347.468,54.985,54.988,CCW
12,09,2022,11,39,55,50.539,348.225,54.985,54.988,CCW
12,09,2022,11,39,55,51.039,350.521,54.901,54.988,CCW
12,09,2022,11,39,56,51.039,351.978,54.901,54.977,CCW
12,09,2022,11,39,56,51.039,353.548,54.901,54.971,CCW
12,09,2022,11,39,57,51.039,355.109,54.901,54.966,CCW
12,09,2022,11,39,58,51.039,356.617,54.901,54.955,CCW
12,09,2022,11,39,58,51.039,358.141,54.901,54.950,CCW
12,09,2022,11,39,59,51.039,359.649,54.901,57.554,CCW
12,09,2022,11,39,59,51.039,1.197,54.901,54.916,CW
12,09,2022,11,40,00,51.039,2.715,54.901,54.906,CW
12,09,2022,11,40,00,51.039,3.462,54.901,54.906,CW
12,09,2022,11,40,00,51.039,4.983,54.901,54.906,CW
12,09,2022,11,40,01,51.039,7.262,54.901,54.906,CW
12,09,2022,11,40,02,51.039,8.036,54.901,54.906,CW
12,09,2022,11,40,02,51.039,9.558,54.901,54.905,CW
12,09,2022,11,40,03,51.039,11.821,54.901,54.906,CW
12,09,2022,11,40,03,51.039,12.601,54.901,54.906,CW
12,09,2022,11,40,04,51.039,14.118,54.901,54.906,CW
12,09,2022,11,40,04,51.039,16.424,54.901,54.906,CW
12,09,2022,11,40,05,51.039,17.160,54.901,54.906,CW
